epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.152,3.76548,4.48923,2.42738,0.00114,0.02719,0.00068,0.00022,4.21673,4.27992,2.77382,0.00021109,0.00021109,0.00021109
2,21.7971,3.14005,3.96583,1.85119,0.00101,0.02897,0.00057,0.00019,4.30482,4.3302,3.79327,0.000429,0.000429,0.000429
3,30.1755,2.86795,3.32147,1.62375,0.00201,0.03403,0.00114,0.00039,4.63105,4.34365,3.73336,0.000642511,0.000642511,0.000642511
4,38.4416,2.62277,2.83372,1.50905,0.00127,0.03903,0.00076,0.00023,4.02806,4.31494,3.03144,0.000851623,0.000851623,0.000851623
5,47.1017,2.50434,2.59109,1.49742,0.03575,0.0714,0.01942,0.00577,3.48928,3.93684,2.38495,0.00105633,0.00105633,0.00105633
6,55.6354,2.38704,2.39833,1.45218,0.39828,0.01773,0.03093,0.01237,2.87207,3.23806,1.74559,0.00105601,0.00105601,0.00105601
7,65.9884,2.2819,2.24269,1.40583,0.71451,0.07876,0.07464,0.0334,2.40556,2.3114,1.53685,0.00104501,0.00104501,0.00104501
8,76.9241,2.20652,2.14708,1.38705,0.32396,0.11205,0.09752,0.04451,2.25711,2.14754,1.45501,0.00103401,0.00103401,0.00103401
9,87.0139,2.16449,2.07644,1.3599,0.55081,0.11619,0.11676,0.0537,2.14629,2.01343,1.39812,0.00102301,0.00102301,0.00102301
10,95.7238,2.088,1.98672,1.33634,0.74542,0.12757,0.13336,0.06266,2.07867,2.09366,1.34997,0.00101201,0.00101201,0.00101201
11,106.41,2.09525,1.94032,1.31971,0.34888,0.15599,0.1474,0.06967,2.07106,1.87871,1.3241,0.00100101,0.00100101,0.00100101
12,117.945,2.03065,1.86424,1.29396,0.25775,0.19822,0.16556,0.07866,2.01452,1.79339,1.32281,0.000990012,0.000990012,0.000990012
13,127.832,2.00158,1.79999,1.27989,0.2464,0.19785,0.17186,0.08317,1.96972,1.73046,1.29255,0.000979013,0.000979013,0.000979013
